---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                      aten::zeros         0.02%      22.000us         0.03%      29.000us       9.667us      13.000us         0.01%      22.000us       7.333us          12 b           0 b           0 b           0 b             3  
                      aten::empty         2.00%       2.311ms         2.00%       2.311ms       1.044us       3.434ms         2.97%       3.434ms       1.551us         588 b         588 b       1.82 Gb       1.82 Gb          2214  
                      aten::zero_         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.00%       4.000us       1.333us           0 b           0 b           0 b           0 b             3  
                    ProfilerStep*        30.03%      34.751ms        99.97%     115.710ms      38.570ms       6.001ms         5.19%     115.612ms      38.537ms         -12 b        -588 b           0 b      -2.36 Gb             3  
                     aten::conv2d         1.15%       1.332ms        29.94%      34.653ms      88.176us       1.289ms         1.11%      54.041ms     137.509us           0 b           0 b     987.12 Mb           0 b           393  
                aten::convolution         2.43%       2.813ms        28.79%      33.321ms      84.786us       1.240ms         1.07%      52.752ms     134.229us           0 b           0 b     987.12 Mb           0 b           393  
               aten::_convolution         2.25%       2.599ms        26.36%      30.508ms      77.628us       1.362ms         1.18%      51.512ms     131.074us           0 b           0 b     987.12 Mb           0 b           393  
          aten::cudnn_convolution        23.32%      26.989ms        23.80%      27.543ms      70.084us      49.255ms        42.60%      49.866ms     126.885us           0 b           0 b     987.12 Mb     102.48 Mb           393  
                       aten::add_         2.77%       3.205ms         2.77%       3.205ms       7.268us       7.434ms         6.43%       7.434ms      16.857us           0 b           0 b           0 b           0 b           441  
                 aten::batch_norm         1.04%       1.208ms        17.82%      20.628ms      56.826us       1.195ms         1.03%      22.686ms      62.496us           0 b           0 b     977.32 Mb           0 b           363  
     aten::_batch_norm_impl_index         1.67%       1.928ms        16.78%      19.420ms      53.499us       1.178ms         1.02%      21.491ms      59.204us           0 b           0 b     977.32 Mb           0 b           363  
