---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    ProfilerStep*         4.61%     632.529ms       100.00%       13.736s        1.374s           0 b      -7.74 Gb            10  
                     aten::conv2d         0.08%      11.009ms        38.63%        5.306s       4.051ms       3.16 Gb           0 b          1310  
                aten::convolution         0.39%      53.332ms        38.55%        5.295s       4.042ms       3.16 Gb           0 b          1310  
               aten::_convolution         0.14%      18.612ms        38.16%        5.242s       4.002ms       3.16 Gb     -56.05 Kb          1310  
                aten::thnn_conv2d         0.10%      13.371ms        37.98%        5.216s       3.982ms       3.16 Gb      56.05 Kb          1310  
       aten::_slow_conv2d_forward        37.17%        5.106s        37.93%        5.210s       3.977ms       3.16 Gb      -5.18 Gb          1310  
                      aten::empty         0.61%      84.214ms         0.61%      84.214ms       6.841us       8.48 Gb       8.48 Gb         12310  
                       aten::view         0.07%       9.258ms         0.07%       9.258ms       5.446us           0 b           0 b          1700  
                    aten::resize_         0.33%      45.552ms         0.33%      45.552ms      34.773us       3.03 Gb       3.03 Gb          1310  
                       aten::add_         2.30%     316.488ms         2.30%     316.488ms     231.013us           0 b           0 b          1370  
                 aten::batch_norm         0.07%       9.801ms        31.04%        4.264s       3.524ms       3.14 Gb           0 b          1210  
     aten::_batch_norm_impl_index         0.17%      23.662ms        30.97%        4.254s       3.516ms       3.14 Gb           0 b          1210  
          aten::native_batch_norm        30.36%        4.170s        30.73%        4.221s       3.489ms       3.14 Gb      -3.94 Mb          1210  
                 aten::empty_like         0.06%       7.593ms         0.20%      26.938ms      18.578us       3.18 Gb     275.00 Kb          1450  
                      aten::relu_         0.53%      72.494ms         4.57%     627.724ms     565.517us           0 b           0 b          1110  
                 aten::clamp_min_         4.04%     555.230ms         4.04%     555.230ms     500.207us           0 b           0 b          1110  
                 aten::max_pool2d         0.01%       1.472ms         4.23%     580.754ms       3.057ms     274.36 Mb           0 b           190  
    aten::max_pool2d_with_indices         4.22%     579.282ms         4.22%     579.282ms       3.049ms     274.36 Mb     274.36 Mb           190  
                     aten::detach         0.01%       1.818ms         0.01%       1.818ms       4.662us           0 b           0 b           390  
         aten::upsample_nearest2d         0.71%      98.200ms         1.76%     242.402ms       1.506ms     114.17 Mb      78.60 Mb           161  
                 aten::contiguous        -0.00%     -68.000us         0.62%      85.050ms     354.375us      35.25 Mb     257.81 Kb           240  
                      aten::clone         0.02%       3.374ms         0.61%      83.980ms     349.917us      35.25 Mb    -275.00 Kb           240  
                      aten::copy_         1.18%     161.491ms         1.18%     161.491ms     132.370us           0 b           0 b          1220  
                         aten::to         0.03%       4.030ms         0.19%      25.627ms      23.729us       2.97 Kb         228 b          1080  
                       aten::relu         0.06%       8.519ms         0.11%      14.914ms      46.606us       2.97 Kb           0 b           320  
                  aten::clamp_min         0.05%       6.395ms         0.05%       6.395ms      19.984us       2.97 Kb       2.97 Kb           320  
                        aten::sum         3.91%     537.462ms         4.78%     656.469ms       1.026ms     142.67 Mb     142.67 Mb           640  
                 aten::as_strided         0.06%       8.604ms         0.06%       8.604ms       3.585us           0 b           0 b          2400  
                      aten::fill_         0.85%     116.676ms         0.85%     116.676ms     162.050us           0 b           0 b           720  
                     aten::select         0.12%      15.857ms         0.13%      17.370ms      22.855us           0 b           0 b           760  
                        aten::mul         2.26%     311.020ms         2.26%     311.020ms     409.237us     313.54 Mb     313.54 Mb           760  
                        aten::add         0.15%      21.200ms         0.35%      47.861ms      62.975us       2.97 Kb        -228 b           760  
                   aten::_to_copy         0.06%       7.624ms         0.17%      22.817ms      30.022us       2.97 Kb           0 b           760  
              aten::empty_strided         0.05%       6.213ms         0.05%       6.213ms       8.175us       2.97 Kb       2.97 Kb           760  
                        aten::div         2.55%     350.704ms         2.55%     350.704ms     461.453us     313.54 Mb     313.54 Mb           760  
                      aten::stack         0.07%      10.219ms         2.67%     367.051ms       1.147ms     313.54 Mb           0 b           320  
                  aten::unsqueeze         0.02%       2.531ms         0.03%       4.520ms       5.947us           0 b           0 b           760  
                        aten::cat         2.53%     347.451ms         2.56%     352.237ms       1.101ms     313.54 Mb     313.54 Mb           320  
                     aten::narrow         0.02%       2.174ms         0.03%       4.769ms      23.845us           0 b           0 b           200  
                      aten::slice         0.01%       1.245ms         0.02%       2.612ms      13.060us           0 b           0 b           200  
                       aten::ones         0.00%     476.000us         0.01%       1.517ms      18.962us      25.00 Kb           0 b            80  
                    aten::reshape         0.01%       1.610ms         0.01%       1.968ms      19.680us           0 b           0 b           100  
             aten::_reshape_alias         0.00%     364.000us         0.00%     364.000us       3.640us           0 b           0 b           100  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 13.736s

Average inference time: 1373.5564 ms
