Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 38.67, 38.67, 91.783%, 91.783%, 8436, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.462, 3.462, 8.21703%, 100%, 44, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 38.67, 38.67, 91.783%, 91.783%, 8436, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.462, 3.462, 8.21703%, 100%, 44, 1, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 38.67, 91.783%, 91.783%, 8436, 1
AllocateTensors, 1, 3.462, 8.21703%, 100%, 44, 1

Timings (microseconds): count=1 curr=42132
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.025, 0.0232, 0.0024838%, 0.0024838%, 0, 1, [convolution_130]:643
CONV_2D, 0.024, 0.0232, 0.0024838%, 0.00496759%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.019, 0.0194, 0.00207697%, 0.00704456%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.028, 0.029, 0.00310474%, 0.0101493%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.023, 0.0226, 0.00241956%, 0.0125689%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.065, 0.0442, 0.00473206%, 0.0173009%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.005, 0.0048, 0.000513889%, 0.0178148%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.283, 0.101, 0.0108131%, 0.0286279%, 0, 1, [convolution_126]:673
CONV_2D, 0.048, 0.0488, 0.00522454%, 0.0338524%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.047, 0.0488, 0.00522454%, 0.039077%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.132, 0.0758, 0.00811516%, 0.0471921%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.029, 0.0294, 0.00314757%, 0.0503397%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.07, 0.0662, 0.00708738%, 0.0574271%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.075, 0.076, 0.00813657%, 0.0655636%, 0, 1, [convolution_902]:613
CONV_2D, 0.056, 0.0582, 0.0062309%, 0.0717945%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.092, 0.0966, 0.010342%, 0.0821366%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.018, 0.018, 0.00192708%, 0.0840636%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.174, 0.1746, 0.0186927%, 0.102756%, 0, 1, [convolution_122]:703
CONV_2D, 0.107, 0.1122, 0.0120122%, 0.114768%, 0, 1, [Add_226;convolution_94;convolution_102;Const_2]:689
CONV_2D, 0.176, 0.123, 0.0131684%, 0.127937%, 0, 1, [onnx_tf_prefix_/box_net/act_9/Relu;convolution_123]:661
CONV_2D, 0.144, 0.1496, 0.0160162%, 0.143953%, 0, 1, [onnx_tf_prefix_/class_net/act_9/Relu;convolution_103]:647
PADV2, 0.015, 0.015, 0.0016059%, 0.145559%, 0, 1, [PadV2_18]:602
CONV_2D, 0.123, 0.1324, 0.0141748%, 0.159734%, 0, 1, [onnx_tf_prefix_/box_net/act_8/Relu;convolution_121]:699
CONV_2D, 0.203, 0.2004, 0.0214549%, 0.181189%, 0, 1, [onnx_tf_prefix_/class_net/act_8/Relu;convolution_101]:685
CONV_2D, 0.175, 0.3088, 0.0330602%, 0.214249%, 0, 1, [convolution_891]:600
CONV_2D, 0.127, 0.122, 0.0130613%, 0.22731%, 0, 1, [onnx_tf_prefix_/box_net/act_7/Relu;convolution_120]:695
CONV_2D, 0.322, 0.3512, 0.0375995%, 0.26491%, 0, 1, [onnx_tf_prefix_/class_net/act_7/Relu;convolution_100]:681
SUM, 0.072, 0.0896, 0.00959259%, 0.274502%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.6/combine/ReduceSum_1]:596
CONV_2D, 0.616, 0.6124, 0.0655636%, 0.340066%, 0, 1, [convolution_118]:733
CONV_2D, 0.408, 0.4124, 0.0441516%, 0.384218%, 0, 1, [Add_222;convolution_94;convolution_98;Const_2]:719
CONV_2D, 0.417, 0.4038, 0.0432309%, 0.427448%, 0, 1, [onnx_tf_prefix_/box_net/act_6/Relu;convolution_119]:691
CONV_2D, 0.476, 0.5006, 0.0535943%, 0.481043%, 0, 1, [onnx_tf_prefix_/class_net/act_6/Relu;convolution_99]:677
PADV2, 0.03, 0.0306, 0.00327604%, 0.484319%, 0, 1, [PadV2_17]:589
CONV_2D, 0.299, 0.2992, 0.0320324%, 0.516351%, 0, 1, [onnx_tf_prefix_/box_net/act_5/Relu;convolution_117]:729
CONV_2D, 0.768, 0.7842, 0.0839566%, 0.600308%, 0, 1, [onnx_tf_prefix_/class_net/act_5/Relu;convolution_97]:715
CONV_2D, 0.616, 0.5924, 0.0634224%, 0.66373%, 0, 1, [convolution_881]:587
CONV_2D, 0.463, 0.4654, 0.0498258%, 0.713556%, 0, 1, [onnx_tf_prefix_/box_net/act_4/Relu;convolution_116]:725
CONV_2D, 1.145, 1.1598, 0.124168%, 0.837724%, 0, 1, [onnx_tf_prefix_/class_net/act_4/Relu;convolution_96]:711
SUM, 0.28, 0.2838, 0.0303837%, 0.868108%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.5/combine/ReduceSum_1]:583
Transpose (ND, X32), 0.085, 0.0482, 0.0154809%, 0.883589%, 0, 3, Delegate/Transpose (ND	 X32):13
Transpose (ND, X32), 0.025, 0.0108667, 0.00349016%, 0.887079%, 0, 3, Delegate/Transpose (ND	 X32):12
CONV_2D, 2.243, 2.3046, 0.246731%, 1.13381%, 0, 1, [convolution_1142]:763
CONV_2D, 1.411, 1.498, 0.160376%, 1.29419%, 0, 1, [Add_218;convolution_94;Const_2]:749
CONV_2D, 1.332, 1.4426, 0.154445%, 1.44863%, 0, 1, [onnx_tf_prefix_/box_net/act_3/Relu;convolution_115]:721
CONV_2D, 2.267, 2.2818, 0.24429%, 1.69292%, 0, 1, [onnx_tf_prefix_/class_net/act_3/Relu;convolution_95]:707
PADV2, 0.058, 0.063, 0.00674479%, 1.69967%, 0, 1, [PadV2_16]:576
CONV_2D, 1.14, 1.144, 0.122477%, 1.82214%, 0, 1, [onnx_tf_prefix_/box_net/act_2/Relu;convolution_113]:759
CONV_2D, 2.871, 2.9, 0.310474%, 2.13262%, 0, 1, [onnx_tf_prefix_/class_net/act_2/Relu;convolution_93]:745
CONV_2D, 2.79, 2.8496, 0.305079%, 2.4377%, 0, 1, [convolution_871]:574
CONV_2D, 2.197, 1.9376, 0.20744%, 2.64514%, 0, 1, [onnx_tf_prefix_/box_net/act_1/Relu;convolution_112]:755
CONV_2D, 4.937, 5.2524, 0.562323%, 3.20746%, 0, 1, [onnx_tf_prefix_/class_net/act_1/Relu;convolution_92]:741
SUM, 1.103, 1.109, 0.11873%, 3.32619%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.4/combine/ReduceSum_1]:570
Transpose (ND, X32), 0.094, 0.0351, 0.0150312%, 3.34122%, 0, 4, Delegate/Transpose (ND	 X32):11
Constant Pad (ND, X32), 0.089, 0.0665, 0.028478%, 3.3697%, 0, 4, Delegate/Constant Pad (ND	 X32):10
Transpose (ND, X32), 0.105, 0.0374, 0.0160162%, 3.38571%, 0, 4, Delegate/Transpose (ND	 X32):9
Transpose (ND, X32), 0.135, 0.02845, 0.0365503%, 3.42226%, 0, 12, Delegate/Transpose (ND	 X32):8
Constant Pad (ND, X32), 0.125, 0.0555333, 0.0713449%, 3.49361%, 0, 12, Delegate/Constant Pad (ND	 X32):7
CONV_2D, 5.949, 6.5486, 0.701094%, 4.1947%, 0, 1, [onnx_tf_prefix_/box_net/act/Relu;convolution_111]:751
CONV_2D, 8.577, 9.4048, 1.00688%, 5.20158%, 0, 1, [onnx_tf_prefix_/class_net/act/Relu;convolution_91]:737
PADV2, 0.164, 0.172, 0.0184143%, 5.22%, 0, 1, [PadV2_15]:563
CONV_2D, 12.438, 12.6682, 1.35626%, 6.57626%, 0, 1, [convolution_861]:561
SUM, 3.591, 3.5952, 0.384903%, 6.96116%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.3/combine/ReduceSum_1]:557
RESIZE_NEAREST_NEIGHBOR, 0.271, 0.1934, 0.0207054%, 6.98186%, 0, 1, [ResizeNearestNeighbor_15]:548
CONV_2D, 2.785, 2.8084, 0.300668%, 7.28253%, 0, 1, [convolution_851]:544
SUM, 0.908, 0.9922, 0.106225%, 7.38876%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.2/combine/ReduceSum_1]:540
RESIZE_NEAREST_NEIGHBOR, 0.029, 0.0282, 0.0030191%, 7.39178%, 0, 1, [ResizeNearestNeighbor_14]:531
CONV_2D, 0.656, 0.6434, 0.0688825%, 7.46066%, 0, 1, [convolution_841]:527
SUM, 0.226, 0.2278, 0.0243883%, 7.48505%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.1/combine/ReduceSum_1]:523
RESIZE_NEAREST_NEIGHBOR, 0.009, 0.0084, 0.000899305%, 7.48595%, 0, 1, [ResizeNearestNeighbor_13]:514
CONV_2D, 0.181, 0.1922, 0.020577%, 7.50652%, 0, 1, [convolution_831]:510
SUM, 0.057, 0.0574, 0.00614525%, 7.51267%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.0/combine/ReduceSum_1]:506
RESIZE_NEAREST_NEIGHBOR, 0.006, 0.0044, 0.000471065%, 7.51314%, 0, 1, [ResizeNearestNeighbor_12]:499
CONV_2D, 0.096, 0.1028, 0.0110058%, 7.52415%, 0, 1, [convolution_821]:495
SUM, 0.015, 0.0154, 0.00164873%, 7.52579%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.7/combine/ReduceSum_1]:491
