Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 36.128, 36.128, 91.5955%, 91.5955%, 8420, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.315, 3.315, 8.40453%, 100%, 40, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 36.128, 36.128, 91.5955%, 91.5955%, 8420, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.315, 3.315, 8.40453%, 100%, 40, 1, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 36.128, 91.5955%, 91.5955%, 8420, 1
AllocateTensors, 1, 3.315, 8.40453%, 100%, 40, 1

Timings (microseconds): count=1 curr=39443
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.025, 0.0316, 0.0035371%, 0.0035371%, 0, 1, [convolution_130]:643
CONV_2D, 0.027, 0.0272, 0.00304459%, 0.00658169%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.046, 0.0696, 0.00779057%, 0.0143723%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.036, 0.048, 0.00537281%, 0.0197451%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.044, 0.062, 0.00693987%, 0.0266849%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.033, 0.0396, 0.00443256%, 0.0311175%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.006, 0.0054, 0.000604441%, 0.0317219%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.143, 0.0908, 0.0101636%, 0.0418855%, 0, 1, [convolution_126]:673
CONV_2D, 0.063, 0.0698, 0.00781295%, 0.0496984%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.046, 0.0538, 0.00602202%, 0.0557205%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.03, 0.0374, 0.00418631%, 0.0599068%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.104, 0.1174, 0.013141%, 0.0730478%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.082, 0.0972, 0.0108799%, 0.0839277%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.064, 0.0678, 0.00758909%, 0.0915168%, 0, 1, [convolution_902]:613
CONV_2D, 0.096, 0.1238, 0.0138574%, 0.105374%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.087, 0.0706, 0.0079025%, 0.113277%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.016, 0.0168, 0.00188048%, 0.115157%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.203, 0.2424, 0.0271327%, 0.14229%, 0, 1, [convolution_122]:703
CONV_2D, 0.124, 0.1492, 0.0167005%, 0.15899%, 0, 1, [Add_226;convolution_94;convolution_102;Const_2]:689
CONV_2D, 0.108, 0.1302, 0.0145737%, 0.173564%, 0, 1, [onnx_tf_prefix_/box_net/act_9/Relu;convolution_123]:661
CONV_2D, 0.074, 0.0922, 0.0103203%, 0.183884%, 0, 1, [onnx_tf_prefix_/class_net/act_9/Relu;convolution_103]:647
PADV2, 0.013, 0.0166, 0.0018581%, 0.185742%, 0, 1, [PadV2_18]:602
CONV_2D, 0.378, 0.4314, 0.0482881%, 0.23403%, 0, 1, [onnx_tf_prefix_/box_net/act_8/Relu;convolution_121]:699
CONV_2D, 0.272, 0.342, 0.0382812%, 0.272312%, 0, 1, [onnx_tf_prefix_/class_net/act_8/Relu;convolution_101]:685
CONV_2D, 0.152, 0.1574, 0.0176183%, 0.28993%, 0, 1, [convolution_891]:600
CONV_2D, 0.452, 0.4414, 0.0494074%, 0.339337%, 0, 1, [onnx_tf_prefix_/box_net/act_7/Relu;convolution_120]:695
CONV_2D, 0.177, 0.1718, 0.0192302%, 0.358568%, 0, 1, [onnx_tf_prefix_/class_net/act_7/Relu;convolution_100]:681
SUM, 0.061, 0.068, 0.00761147%, 0.366179%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.6/combine/ReduceSum_1]:596
CONV_2D, 0.619, 0.829, 0.0927928%, 0.458972%, 0, 1, [convolution_118]:733
CONV_2D, 0.678, 0.6724, 0.0752641%, 0.534236%, 0, 1, [Add_222;convolution_94;convolution_98;Const_2]:719
