Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 37.503, 37.503, 92.3196%, 92.3196%, 8372, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.12, 3.12, 7.68038%, 100%, 32, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 37.503, 37.503, 92.3196%, 92.3196%, 8372, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.12, 3.12, 7.68038%, 100%, 32, 1, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 37.503, 92.3196%, 92.3196%, 8372, 1
AllocateTensors, 1, 3.12, 7.68038%, 100%, 32, 1

Timings (microseconds): count=1 curr=40623
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.042, 0.039, 0.00399146%, 0.00399146%, 0, 1, [convolution_130]:643
CONV_2D, 0.03, 0.0294, 0.00300895%, 0.0070004%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.081, 0.0454, 0.00464647%, 0.0116469%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.205, 0.0808, 0.00826948%, 0.0199164%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.035, 0.0718, 0.00734838%, 0.0272647%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.023, 0.0578, 0.00591555%, 0.0331803%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.003, 0.0044, 0.000450318%, 0.0336306%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.09, 0.0944, 0.00966137%, 0.043292%, 0, 1, [convolution_126]:673
CONV_2D, 0.07, 0.0748, 0.00765541%, 0.0509474%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.054, 0.056, 0.00573132%, 0.0566787%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.036, 0.0354, 0.00362302%, 0.0603017%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.086, 0.0848, 0.00867886%, 0.0689806%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.129, 0.1176, 0.0120358%, 0.0810164%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.116, 0.0858, 0.00878121%, 0.0897976%, 0, 1, [convolution_902]:613
CONV_2D, 0.091, 0.089, 0.00910871%, 0.0989063%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.056, 0.0572, 0.00585414%, 0.10476%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.018, 0.0188, 0.00192409%, 0.106685%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.303, 0.3108, 0.0318088%, 0.138493%, 0, 1, [convolution_122]:703
CONV_2D, 0.167, 0.1598, 0.0163547%, 0.154848%, 0, 1, [Add_226;convolution_94;convolution_102;Const_2]:689
CONV_2D, 0.129, 0.1282, 0.0131206%, 0.167969%, 0, 1, [onnx_tf_prefix_/box_net/act_9/Relu;convolution_123]:661
CONV_2D, 0.093, 0.1022, 0.0104597%, 0.178428%, 0, 1, [onnx_tf_prefix_/class_net/act_9/Relu;convolution_103]:647
PADV2, 0.015, 0.0152, 0.00155565%, 0.179984%, 0, 1, [PadV2_18]:602
CONV_2D, 0.542, 0.3388, 0.0346745%, 0.214659%, 0, 1, [onnx_tf_prefix_/box_net/act_8/Relu;convolution_121]:699
CONV_2D, 0.415, 0.394, 0.040324%, 0.254983%, 0, 1, [onnx_tf_prefix_/class_net/act_8/Relu;convolution_101]:685
CONV_2D, 0.186, 0.1768, 0.0180946%, 0.273077%, 0, 1, [convolution_891]:600
CONV_2D, 0.471, 0.3162, 0.0323615%, 0.305439%, 0, 1, [onnx_tf_prefix_/box_net/act_7/Relu;convolution_120]:695
CONV_2D, 0.139, 0.1368, 0.0140008%, 0.319439%, 0, 1, [onnx_tf_prefix_/class_net/act_7/Relu;convolution_100]:681
SUM, 0.092, 0.0794, 0.0081262%, 0.327566%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.6/combine/ReduceSum_1]:596
CONV_2D, 1.052, 0.9926, 0.101588%, 0.429153%, 0, 1, [convolution_118]:733
CONV_2D, 0.63, 0.6436, 0.0658693%, 0.495023%, 0, 1, [Add_222;convolution_94;convolution_98;Const_2]:719
CONV_2D, 0.453, 0.4412, 0.0451546%, 0.540177%, 0, 1, [onnx_tf_prefix_/box_net/act_6/Relu;convolution_119]:691
CONV_2D, 0.198, 0.199, 0.0203667%, 0.560544%, 0, 1, [onnx_tf_prefix_/class_net/act_6/Relu;convolution_99]:677
PADV2, 0.04, 0.0332, 0.00339786%, 0.563942%, 0, 1, [PadV2_17]:589
CONV_2D, 1.102, 1.0874, 0.11129%, 0.675232%, 0, 1, [onnx_tf_prefix_/box_net/act_5/Relu;convolution_117]:729
CONV_2D, 1.57, 1.488, 0.152289%, 0.827521%, 0, 1, [onnx_tf_prefix_/class_net/act_5/Relu;convolution_97]:715
CONV_2D, 0.6, 0.5794, 0.0592987%, 0.88682%, 0, 1, [convolution_881]:587
CONV_2D, 1.194, 1.0272, 0.105129%, 0.991949%, 0, 1, [onnx_tf_prefix_/box_net/act_4/Relu;convolution_116]:725
CONV_2D, 0.44, 0.4702, 0.0481227%, 1.04007%, 0, 1, [onnx_tf_prefix_/class_net/act_4/Relu;convolution_96]:711
SUM, 0.283, 0.282, 0.0288613%, 1.06893%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.5/combine/ReduceSum_1]:583
Transpose (ND, X32), 0.102, 0.0477333, 0.0146558%, 1.08359%, 0, 3, Delegate/Transpose (ND	 X32):13
Transpose (ND, X32), 0.031, 0.0135333, 0.00415521%, 1.08774%, 0, 3, Delegate/Transpose (ND	 X32):12
CONV_2D, 4.275, 4.1694, 0.426718%, 1.51446%, 0, 1, [convolution_1142]:763
CONV_2D, 2.528, 2.5174, 0.257643%, 1.7721%, 0, 1, [Add_218;convolution_94;Const_2]:749
CONV_2D, 1.711, 1.6908, 0.173045%, 1.94515%, 0, 1, [onnx_tf_prefix_/box_net/act_3/Relu;convolution_115]:721
CONV_2D, 0.987, 0.9538, 0.0976167%, 2.04277%, 0, 1, [onnx_tf_prefix_/class_net/act_3/Relu;convolution_95]:707
PADV2, 0.077, 0.0892, 0.00912918%, 2.0519%, 0, 1, [PadV2_16]:576
CONV_2D, 5.639, 5.2016, 0.532358%, 2.58425%, 0, 1, [onnx_tf_prefix_/box_net/act_2/Relu;convolution_113]:759
CONV_2D, 8.161, 7.5214, 0.769778%, 3.35403%, 0, 1, [onnx_tf_prefix_/class_net/act_2/Relu;convolution_93]:745
CONV_2D, 2.844, 2.743, 0.280733%, 3.63476%, 0, 1, [convolution_871]:574
CONV_2D, 4.353, 4.0466, 0.41415%, 4.04891%, 0, 1, [onnx_tf_prefix_/box_net/act_1/Relu;convolution_112]:755
CONV_2D, 1.848, 1.7172, 0.175747%, 4.22466%, 0, 1, [onnx_tf_prefix_/class_net/act_1/Relu;convolution_92]:741
SUM, 1.104, 1.0774, 0.110267%, 4.33493%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.4/combine/ReduceSum_1]:570
Transpose (ND, X32), 0.111, 0.04845, 0.0198345%, 4.35476%, 0, 4, Delegate/Transpose (ND	 X32):11
Constant Pad (ND, X32), 0.099, 0.09925, 0.040631%, 4.39539%, 0, 4, Delegate/Constant Pad (ND	 X32):10
Transpose (ND, X32), 0.13, 0.05605, 0.0229458%, 4.41834%, 0, 4, Delegate/Transpose (ND	 X32):9
Transpose (ND, X32), 0.027, 0.0407667, 0.0500672%, 4.46841%, 0, 12, Delegate/Transpose (ND	 X32):8
Constant Pad (ND, X32), 0.021, 0.0855833, 0.105108%, 4.57351%, 0, 12, Delegate/Constant Pad (ND	 X32):7
CONV_2D, 9.516, 8.2906, 0.848502%, 5.42202%, 0, 1, [onnx_tf_prefix_/box_net/act/Relu;convolution_111]:751
CONV_2D, 3.576, 3.6284, 0.371349%, 5.79337%, 0, 1, [onnx_tf_prefix_/class_net/act/Relu;convolution_91]:737
PADV2, 0.143, 0.1558, 0.0159454%, 5.80931%, 0, 1, [PadV2_15]:563
CONV_2D, 11.242, 10.6566, 1.09065%, 6.89996%, 0, 1, [convolution_861]:561
SUM, 3.86, 3.802, 0.389116%, 7.28908%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.3/combine/ReduceSum_1]:557
RESIZE_NEAREST_NEIGHBOR, 0.123, 0.1464, 0.0149833%, 7.30406%, 0, 1, [ResizeNearestNeighbor_15]:548
CONV_2D, 2.747, 2.6132, 0.267448%, 7.57151%, 0, 1, [convolution_851]:544
SUM, 0.9, 0.9312, 0.0953037%, 7.66681%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.2/combine/ReduceSum_1]:540
RESIZE_NEAREST_NEIGHBOR, 0.031, 0.0304, 0.00311129%, 7.66992%, 0, 1, [ResizeNearestNeighbor_14]:531
CONV_2D, 0.739, 0.6456, 0.066074%, 7.736%, 0, 1, [convolution_841]:527
SUM, 0.225, 0.2368, 0.0242353%, 7.76023%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.1/combine/ReduceSum_1]:523
RESIZE_NEAREST_NEIGHBOR, 0.01, 0.0088, 0.000900637%, 7.76113%, 0, 1, [ResizeNearestNeighbor_13]:514
CONV_2D, 0.184, 0.1816, 0.0185859%, 7.77972%, 0, 1, [convolution_831]:510
SUM, 0.057, 0.0596, 0.00609977%, 7.78582%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.0/combine/ReduceSum_1]:506
RESIZE_NEAREST_NEIGHBOR, 0.005, 0.008, 0.000818761%, 7.78664%, 0, 1, [ResizeNearestNeighbor_12]:499
CONV_2D, 0.098, 0.1038, 0.0106234%, 7.79726%, 0, 1, [convolution_821]:495
SUM, 0.015, 0.0158, 0.00161705%, 7.79888%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.7/combine/ReduceSum_1]:491
PADV2, 0.012, 0.0126, 0.00128955%, 7.80017%, 0, 1, [PadV2_14]:484
CONV_2D, 0.19, 0.202, 0.0206737%, 7.82084%, 0, 1, [convolution_812]:482
SUM, 0.061, 0.0654, 0.00669337%, 7.82754%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.6/combine/ReduceSum_1]:478
PADV2, 0.028, 0.0262, 0.00268144%, 7.83022%, 0, 1, [PadV2_13]:471
CONV_2D, 0.808, 0.794, 0.081262%, 7.91148%, 0, 1, [convolution_801]:469
SUM, 0.279, 0.2644, 0.02706%, 7.93854%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.5/combine/ReduceSum_1]:465
PADV2, 0.06, 0.057, 0.00583367%, 7.94437%, 0, 1, [PadV2_12]:458
CONV_2D, 3.134, 2.9268, 0.299544%, 8.24392%, 0, 1, [convolution_791]:456
SUM, 1.102, 1.0816, 0.110696%, 8.35461%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.4/combine/ReduceSum_1]:452
PADV2, 0.22, 0.1688, 0.0172758%, 8.37189%, 0, 1, [PadV2_11]:445
CONV_2D, 11.352, 11.3632, 1.16297%, 9.53486%, 0, 1, [convolution_781]:443
SUM, 3.765, 3.6544, 0.37401%, 9.90887%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.3/combine/ReduceSum_1]:439
RESIZE_NEAREST_NEIGHBOR, 0.161, 0.153, 0.0156588%, 9.92452%, 0, 1, [ResizeNearestNeighbor_11]:430
CONV_2D, 2.694, 2.3576, 0.241289%, 10.1658%, 0, 1, [convolution_771]:426
SUM, 0.916, 0.9154, 0.0936867%, 10.2595%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.2/combine/ReduceSum_1]:422
RESIZE_NEAREST_NEIGHBOR, 0.03, 0.03, 0.00307035%, 10.2626%, 0, 1, [ResizeNearestNeighbor_10]:413
CONV_2D, 0.757, 0.6628, 0.0678343%, 10.3304%, 0, 1, [convolution_761]:409
SUM, 0.225, 0.2342, 0.0239692%, 10.3544%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.1/combine/ReduceSum_1]:405
RESIZE_NEAREST_NEIGHBOR, 0.01, 0.0092, 0.000941575%, 10.3553%, 0, 1, [ResizeNearestNeighbor_9]:396
CONV_2D, 0.182, 0.1924, 0.0196912%, 10.375%, 0, 1, [convolution_751]:392
SUM, 0.057, 0.0624, 0.00638633%, 10.3814%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.2/fnode.0/combine/ReduceSum_1]:388
RESIZE_NEAREST_NEIGHBOR, 0.005, 0.005, 0.000511725%, 10.3819%, 0, 1, [ResizeNearestNeighbor_8]:381
CONV_2D, 0.095, 0.0832, 0.00851511%, 10.3904%, 0, 1, [convolution_741]:377
SUM, 0.015, 0.0152, 0.00155565%, 10.392%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.1/fnode.7/combine/ReduceSum_1]:373
PADV2, 0.012, 0.0128, 0.00131002%, 10.3933%, 0, 1, [PadV2_10]:366
CONV_2D, 0.188, 0.173, 0.0177057%, 10.411%, 0, 1, [convolution_731]:364
SUM, 0.06, 0.0654, 0.00669337%, 10.4177%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.1/fnode.6/combine/ReduceSum_1]:360
PADV2, 0.026, 0.0256, 0.00262003%, 10.4203%, 0, 1, [PadV2_9]:353
CONV_2D, 0.746, 0.632, 0.0646821%, 10.485%, 0, 1, [convolution_721]:351
SUM, 0.278, 0.2574, 0.0263436%, 10.5113%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.1/fnode.5/combine/ReduceSum_1]:347
PADV2, 0.061, 0.0584, 0.00597695%, 10.5173%, 0, 1, [PadV2_8]:340
CONV_2D, 3.177, 2.5854, 0.264603%, 10.7819%, 0, 1, [convolution_711]:338
SUM, 1.102, 1.0824, 0.110778%, 10.8927%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.1/fnode.4/combine/ReduceSum_1]:334
Constant Pad (ND, X32), 0.386, 0.6692, 0.0684893%, 10.9612%, 0, 1, Delegate/Constant Pad (ND	 X32):0
Transpose (ND, X32), 0.699, 0.2712, 0.083268%, 11.0444%, 0, 3, Delegate/Transpose (ND	 X32):1
CONV_2D, 30.827, 26.65, 2.7275%, 13.7719%, 0, 1, [onnx_tf_prefix_/backbone/act1/Relu;convolution]:2
Transpose (ND, X32), 5.014, 0.563273, 4.26597%, 18.0379%, 0, 74, Delegate/Transpose (ND	 X32):0
PADV2, 2.364, 2.3732, 0.242885%, 18.2808%, 0, 1, [PadV2]:4
Max Pooling (NHWC, F32), 2.201, 0.144716, 0.281408%, 18.5622%, 0, 19, Delegate/Max Pooling (NHWC	 F32):1
CONV_2D, 14.763, 14.3034, 1.46388%, 20.0261%, 0, 1, [convolution_410]:7
CONV_2D, 5.114, 4.9396, 0.505544%, 20.5316%, 0, 1, [onnx_tf_prefix_/backbone/layer1/layer1.0/act1/Relu;convolution_1]:8
Constant Pad (ND, X32), 0.916, 0.240127, 1.35167%, 21.8833%, 0, 55, Delegate/Constant Pad (ND	 X32):1
Transpose (ND, X32), 0.865, 0.143047, 1.06873%, 22.952%, 0, 73, Delegate/Transpose (ND	 X32):2
CONV_2D, 22.093, 19.2698, 1.97217%, 24.9242%, 0, 1, [onnx_tf_prefix_/backbone/layer1/layer1.0/act2/Relu;convolution_2]:12
CONV_2D, 24.72, 24.0932, 2.46582%, 27.39%, 0, 1, [convolution_310]:13
Add (ND, F32), 3.368, 1.40581, 2.30205%, 29.6921%, 0, 16, Delegate/Add (ND	 F32):0
CONV_2D, 14.446, 14.5272, 1.48679%, 31.1789%, 0, 1, [onnx_tf_prefix_/backbone/layer1/layer1.1/act1/Relu;convolution_5]:15
CONV_2D, 8.597, 8.3212, 0.851634%, 32.0305%, 0, 1, [onnx_tf_prefix_/backbone/layer1/layer1.1/act2/Relu;convolution_6]:19
CONV_2D, 14.813, 14.89, 1.52392%, 33.5544%, 0, 1, [convolution_710]:20
CONV_2D, 13.594, 13.5678, 1.3886%, 34.943%, 0, 1, [onnx_tf_prefix_/backbone/layer1/layer1.2/act1/Relu;convolution_8]:22
CONV_2D, 12.41, 12.6212, 1.29172%, 36.2347%, 0, 1, [onnx_tf_prefix_/backbone/layer1/layer1.2/act2/Relu;convolution_9]:26
CONV_2D, 19.509, 19.7024, 2.01644%, 38.2512%, 0, 1, [convolution_102]:27
CONV_2D, 23.656, 24.9494, 2.55345%, 40.8046%, 0, 1, [onnx_tf_prefix_/backbone/layer2/layer2.0/act1/Relu;convolution_11]:29
CONV_2D, 25.338, 25.657, 2.62587%, 43.4305%, 0, 1, [convolution_141]:35
