Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 36.933, 36.933, 92.6219%, 92.6219%, 8288, 1, ModifyGraphWithDelegate/0
AllocateTensors, 2.942, 2.942, 7.37806%, 100%, 36, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 36.933, 36.933, 92.6219%, 92.6219%, 8288, 1, ModifyGraphWithDelegate/0
AllocateTensors, 2.942, 2.942, 7.37806%, 100%, 36, 1, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 36.933, 92.6219%, 92.6219%, 8288, 1
AllocateTensors, 1, 2.942, 7.37806%, 100%, 36, 1

Timings (microseconds): count=1 curr=39875
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.033, 0.1178, 0.0127362%, 0.0127362%, 0, 1, [convolution_130]:643
CONV_2D, 0.025, 0.0246, 0.00265968%, 0.0153959%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.034, 0.0332, 0.00358948%, 0.0189853%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.055, 0.0522, 0.00564371%, 0.024629%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.017, 0.0276, 0.00298403%, 0.0276131%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.042, 0.1116, 0.0120659%, 0.0396789%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.003, 0.0034, 0.000367598%, 0.0400465%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.085, 0.0898, 0.0097089%, 0.0497554%, 0, 1, [convolution_126]:673
CONV_2D, 0.062, 0.066, 0.00713572%, 0.0568911%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.042, 0.078, 0.00843312%, 0.0653243%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.065, 0.0614, 0.00663838%, 0.0719627%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.071, 0.0742, 0.00802228%, 0.0799849%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.129, 0.1236, 0.0133633%, 0.0933482%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.074, 0.0796, 0.00860611%, 0.101954%, 0, 1, [convolution_902]:613
CONV_2D, 0.033, 0.0314, 0.00339487%, 0.105349%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.103, 0.1008, 0.0108982%, 0.116247%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.019, 0.0184, 0.00198935%, 0.118237%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.257, 0.2612, 0.0282402%, 0.146477%, 0, 1, [convolution_122]:703
CONV_2D, 0.137, 0.1344, 0.0145309%, 0.161008%, 0, 1, [Add_226;convolution_94;convolution_102;Const_2]:689
