---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    ProfilerStep*         4.59%     648.061ms       100.00%       14.124s        1.412s           0 b      -7.78 Gb            10  
                     aten::conv2d         0.08%      10.863ms        40.18%        5.675s       4.332ms       3.18 Gb           0 b          1310  
                aten::convolution         0.38%      53.288ms        40.10%        5.664s       4.324ms       3.18 Gb           0 b          1310  
               aten::_convolution         0.09%      12.545ms        39.72%        5.611s       4.283ms       3.18 Gb    -317.19 Kb          1310  
                aten::thnn_conv2d         0.14%      19.627ms        39.54%        5.585s       4.264ms       3.18 Gb     317.19 Kb          1310  
       aten::_slow_conv2d_forward        38.74%        5.472s        39.50%        5.578s       4.258ms       3.18 Gb      -5.24 Gb          1310  
                      aten::empty         0.62%      87.149ms         0.62%      87.149ms       7.080us       8.53 Gb       8.53 Gb         12310  
                       aten::view         0.06%       9.107ms         0.06%       9.107ms       5.357us           0 b           0 b          1700  
                    aten::resize_         0.33%      47.026ms         0.33%      47.026ms      35.898us       3.08 Gb       3.08 Gb          1310  
                       aten::add_         2.29%     323.121ms         2.29%     323.121ms     235.855us           0 b           0 b          1370  
                 aten::batch_norm         0.07%       9.351ms        30.70%        4.335s       3.583ms       3.16 Gb           0 b          1210  
     aten::_batch_norm_impl_index         0.16%      23.072ms        30.63%        4.326s       3.575ms       3.16 Gb           0 b          1210  
          aten::native_batch_norm        30.01%        4.239s        30.40%        4.294s       3.549ms       3.16 Gb      -3.97 Mb          1210  
                 aten::empty_like         0.05%       7.293ms         0.21%      29.182ms      20.126us       3.20 Gb     653.12 Kb          1450  
                      aten::relu_         0.50%      70.224ms         4.60%     649.989ms     585.576us           0 b           0 b          1110  
                 aten::clamp_min_         4.10%     579.765ms         4.10%     579.765ms     522.311us           0 b           0 b          1110  
                 aten::max_pool2d         0.01%       1.762ms         4.03%     568.826ms       2.994ms     274.36 Mb           0 b           190  
    aten::max_pool2d_with_indices         4.01%     567.064ms         4.01%     567.064ms       2.985ms     274.36 Mb     274.36 Mb           190  
                     aten::detach         0.01%       1.928ms         0.01%       1.928ms       4.944us           0 b           0 b           390  
         aten::upsample_nearest2d         0.64%      90.410ms         1.63%     229.944ms       1.437ms     114.14 Mb      76.54 Mb           160  
                 aten::contiguous         0.04%       5.005ms         0.54%      76.465ms     318.604us      35.25 Mb       2.27 Mb           240  
                      aten::clone         0.02%       2.264ms         0.54%      75.591ms     314.962us      35.25 Mb    -653.12 Kb           240  
                      aten::copy_         1.10%     155.659ms         1.10%     155.659ms     127.589us           0 b           0 b          1220  
                         aten::to         0.03%       3.706ms         0.17%      24.178ms      22.387us       2.97 Kb         212 b          1080  
                       aten::relu         0.06%       7.989ms         0.10%      14.517ms      45.366us       2.97 Kb           0 b           320  
                  aten::clamp_min         0.05%       6.528ms         0.05%       6.528ms      20.400us       2.97 Kb       2.97 Kb           320  
                        aten::sum         3.68%     519.547ms         4.43%     625.799ms     977.811us     142.67 Mb     142.67 Mb           640  
                 aten::as_strided         0.05%       7.603ms         0.05%       7.603ms       3.168us           0 b           0 b          2400  
                      aten::fill_         0.74%     104.355ms         0.74%     104.355ms     144.938us           0 b           0 b           720  
                     aten::select         0.11%      15.708ms         0.12%      17.073ms      22.464us           0 b           0 b           760  
                        aten::mul         2.11%     297.562ms         2.11%     297.562ms     391.529us     313.54 Mb     313.54 Mb           760  
                        aten::add         0.15%      21.235ms         0.33%      46.720ms      61.474us       2.97 Kb        -212 b           760  
                   aten::_to_copy         0.05%       7.453ms         0.15%      21.846ms      28.745us       2.97 Kb           4 b           760  
              aten::empty_strided         0.04%       5.486ms         0.04%       5.486ms       7.218us       2.96 Kb       2.96 Kb           760  
                        aten::div         2.37%     334.043ms         2.37%     334.043ms     439.530us     313.54 Mb     313.54 Mb           760  
                      aten::stack         0.08%      11.427ms         2.53%     357.936ms       1.119ms     313.54 Mb           0 b           320  
                  aten::unsqueeze         0.02%       2.469ms         0.03%       4.289ms       5.643us           0 b           0 b           760  
                        aten::cat         2.39%     337.566ms         2.42%     342.183ms       1.069ms     313.54 Mb     313.54 Mb           320  
                     aten::narrow         0.02%       2.165ms         0.03%       4.617ms      23.085us           0 b           0 b           200  
                      aten::slice         0.01%       1.181ms         0.02%       2.452ms      12.260us           0 b           0 b           200  
                       aten::ones         0.00%     448.000us         0.01%       1.450ms      18.125us      25.00 Kb           0 b            80  
                    aten::reshape         0.01%       1.810ms         0.02%       2.187ms      21.870us           0 b           0 b           100  
             aten::_reshape_alias         0.00%     377.000us         0.00%     377.000us       3.770us           0 b           0 b           100  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.124s

Average inference time: 1412.3966 ms
