Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 31.203, 31.203, 91.9764%, 91.9764%, 8316, 1, ModifyGraphWithDelegate/0
AllocateTensors, 2.722, 2.722, 8.02358%, 100%, 44, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 31.203, 31.203, 91.9764%, 91.9764%, 8316, 1, ModifyGraphWithDelegate/0
AllocateTensors, 2.722, 2.722, 8.02358%, 100%, 44, 1, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 31.203, 91.9764%, 91.9764%, 8316, 1
AllocateTensors, 1, 2.722, 8.02358%, 100%, 44, 1

Timings (microseconds): count=1 curr=33925
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.066, 0.0492, 0.00527651%, 0.00527651%, 0, 1, [convolution_130]:643
Constant Pad (ND, X32), 0.01, 0.0218, 0.00233797%, 0.00761448%, 0, 1, Delegate/Constant Pad (ND	 X32):6
Convolution (NHWC, F32) IGEMM, 0.065, 0.0164, 0.00175884%, 0.00937332%, 0, 1, Delegate/Convolution (NHWC	 F32) IGEMM:3
CONV_2D, 0.085, 0.0846, 0.00907303%, 0.0184463%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.016, 0.0164, 0.00175884%, 0.0202052%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.045, 0.053, 0.00568405%, 0.0258892%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.058, 0.0402, 0.0043113%, 0.0302005%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
CONV_2D, 0.078, 0.095, 0.0101884%, 0.0403889%, 0, 1, [convolution_126]:673
CONV_2D, 0.072, 0.0992, 0.0106388%, 0.0510277%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.091, 0.0472, 0.00506202%, 0.0560897%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.086, 0.118, 0.012655%, 0.0687448%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.034, 0.0386, 0.0041397%, 0.0728845%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.082, 0.0726, 0.00778607%, 0.0806706%, 0, 1, [convolution_902]:613
CONV_2D, 0.202, 0.1438, 0.015422%, 0.0960926%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.203, 0.1164, 0.0124835%, 0.108576%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.016, 0.0202, 0.00216637%, 0.110742%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.322, 0.3258, 0.0349408%, 0.145683%, 0, 1, [convolution_122]:703
CONV_2D, 0.147, 0.1664, 0.0178458%, 0.163529%, 0, 1, [onnx_tf_prefix_/box_net/act_9/Relu;convolution_123]:661
CONV_2D, 0.096, 0.0942, 0.0101026%, 0.173632%, 0, 1, [onnx_tf_prefix_/class_net/act_9/Relu;convolution_103]:647
PADV2, 0.014, 0.016, 0.00171594%, 0.175347%, 0, 1, [PadV2_18]:602
CONV_2D, 0.35, 0.5004, 0.053666%, 0.229013%, 0, 1, [onnx_tf_prefix_/box_net/act_8/Relu;convolution_121]:699
CONV_2D, 0.202, 0.2068, 0.0221785%, 0.251192%, 0, 1, [onnx_tf_prefix_/class_net/act_8/Relu;convolution_101]:685
CONV_2D, 0.15, 0.183, 0.019626%, 0.270818%, 0, 1, [convolution_891]:600
CONV_2D, 0.386, 0.4284, 0.0459443%, 0.316762%, 0, 1, [onnx_tf_prefix_/box_net/act_7/Relu;convolution_120]:695
CONV_2D, 0.197, 0.1766, 0.0189397%, 0.335702%, 0, 1, [onnx_tf_prefix_/class_net/act_7/Relu;convolution_100]:681
SUM, 0.07, 0.0748, 0.00802201%, 0.343724%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.6/combine/ReduceSum_1]:596
CONV_2D, 0.879, 1.0742, 0.115204%, 0.458928%, 0, 1, [convolution_118]:733
