Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 21.705, 21.705, 91.7061%, 91.7061%, 8476, 1, ModifyGraphWithDelegate/0
AllocateTensors, 1.963, 1.963, 8.2939%, 100%, 36, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 21.705, 21.705, 91.7061%, 91.7061%, 8476, 1, ModifyGraphWithDelegate/0
AllocateTensors, 1.963, 1.963, 8.2939%, 100%, 36, 1, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 21.705, 91.7061%, 91.7061%, 8476, 1
AllocateTensors, 1, 1.963, 8.2939%, 100%, 36, 1

Timings (microseconds): count=1 curr=23668
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.075, 0.0288, 0.00467309%, 0.00467309%, 0, 1, [convolution_130]:643
CONV_2D, 0.069, 0.0342, 0.0055493%, 0.0102224%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.065, 0.0368, 0.00597118%, 0.0161936%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.066, 0.0614, 0.00996278%, 0.0261563%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.035, 0.0338, 0.0054844%, 0.0316407%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.067, 0.041, 0.00665267%, 0.0382934%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.008, 0.0072, 0.00116827%, 0.0394617%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.197, 0.0762, 0.0123642%, 0.0518259%, 0, 1, [convolution_126]:673
CONV_2D, 0.242, 0.0808, 0.0131106%, 0.0649365%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.09, 0.029, 0.00470555%, 0.0696421%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.14, 0.0562, 0.00911902%, 0.0787611%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.216, 0.079, 0.0128186%, 0.0915797%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.178, 0.0808, 0.0131106%, 0.10469%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.1, 0.0564, 0.00915148%, 0.113842%, 0, 1, [convolution_901]:613
CONV_2D, 0.056, 0.0212, 0.00343992%, 0.117282%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.159, 0.0682, 0.0110661%, 0.128348%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.091, 0.0282, 0.00457574%, 0.132924%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.643, 0.255, 0.0413764%, 0.1743%, 0, 1, [convolution_122]:703
CONV_2D, 0.484, 0.1778, 0.0288499%, 0.20315%, 0, 1, [Add_226;convolution_94;convolution_102;Const_2]:689
CONV_2D, 0.27, 0.0834, 0.0135325%, 0.216682%, 0, 1, [onnx_tf_prefix_/box_net/act_9/Relu;convolution_123]:661
CONV_2D, 0.361, 0.1522, 0.024696%, 0.241378%, 0, 1, [onnx_tf_prefix_/class_net/act_9/Relu;convolution_103]:647
PADV2, 0.09, 0.028, 0.00454329%, 0.245922%, 0, 1, [PadV2_18]:602
CONV_2D, 0.061, 0.1758, 0.0285253%, 0.274447%, 0, 1, [onnx_tf_prefix_/box_net/act_8/Relu;convolution_121]:699
CONV_2D, 0.092, 0.2702, 0.0438427%, 0.31829%, 0, 1, [onnx_tf_prefix_/class_net/act_8/Relu;convolution_101]:685
CONV_2D, 0.055, 0.1166, 0.0189195%, 0.337209%, 0, 1, [convolution_891]:600
CONV_2D, 0.02, 0.065, 0.0105469%, 0.347756%, 0, 1, [onnx_tf_prefix_/box_net/act_7/Relu;convolution_120]:695
CONV_2D, 0.071, 0.251, 0.0407273%, 0.388483%, 0, 1, [onnx_tf_prefix_/class_net/act_7/Relu;convolution_100]:681
SUM, 0.036, 0.1014, 0.0164532%, 0.404937%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.6/combine/ReduceSum_1]:596
CONV_2D, 0.334, 0.4192, 0.0680195%, 0.472956%, 0, 1, [convolution_118]:733
CONV_2D, 0.252, 0.3234, 0.052475%, 0.525431%, 0, 1, [Add_222;convolution_94;convolution_98;Const_2]:719
CONV_2D, 0.061, 0.1032, 0.0167453%, 0.542176%, 0, 1, [onnx_tf_prefix_/box_net/act_6/Relu;convolution_119]:691
CONV_2D, 0.151, 0.198, 0.0321275%, 0.574304%, 0, 1, [onnx_tf_prefix_/class_net/act_6/Relu;convolution_99]:677
PADV2, 0.016, 0.0206, 0.00334256%, 0.577646%, 0, 1, [PadV2_17]:589
CONV_2D, 0.226, 0.3006, 0.0487754%, 0.626422%, 0, 1, [onnx_tf_prefix_/box_net/act_5/Relu;convolution_117]:729
CONV_2D, 0.335, 0.4648, 0.0754186%, 0.70184%, 0, 1, [onnx_tf_prefix_/class_net/act_5/Relu;convolution_97]:715
CONV_2D, 0.177, 0.215, 0.0348859%, 0.736726%, 0, 1, [convolution_881]:587
CONV_2D, 0.071, 0.0984, 0.0159664%, 0.752693%, 0, 1, [onnx_tf_prefix_/box_net/act_4/Relu;convolution_116]:725
CONV_2D, 0.313, 0.5286, 0.0857708%, 0.838463%, 0, 1, [onnx_tf_prefix_/class_net/act_4/Relu;convolution_96]:711
SUM, 0.135, 0.1846, 0.0299532%, 0.868417%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.5/combine/ReduceSum_1]:583
Transpose (ND, X32), 0.081, 0.0451333, 0.02197%, 0.890387%, 0, 3, Delegate/Transpose (ND	 X32):13
Transpose (ND, X32), 0.017, 0.0124667, 0.00606853%, 0.896455%, 0, 3, Delegate/Transpose (ND	 X32):12
CONV_2D, 1.871, 2.1322, 0.345971%, 1.24243%, 0, 1, [convolution_1142]:763
CONV_2D, 1.582, 1.7248, 0.279866%, 1.52229%, 0, 1, [Add_218;convolution_94;Const_2]:749
CONV_2D, 0.219, 0.3282, 0.0532538%, 1.57555%, 0, 1, [onnx_tf_prefix_/box_net/act_3/Relu;convolution_115]:721
CONV_2D, 0.607, 0.8256, 0.133962%, 1.70951%, 0, 1, [onnx_tf_prefix_/class_net/act_3/Relu;convolution_95]:707
PADV2, 0.056, 0.0608, 0.00986542%, 1.71937%, 0, 1, [PadV2_16]:576
CONV_2D, 0.986, 1.2762, 0.207076%, 1.92645%, 0, 1, [onnx_tf_prefix_/box_net/act_2/Relu;convolution_113]:759
CONV_2D, 1.401, 1.8964, 0.30771%, 2.23416%, 0, 1, [onnx_tf_prefix_/class_net/act_2/Relu;convolution_93]:745
CONV_2D, 0.639, 0.9476, 0.153758%, 2.38792%, 0, 1, [convolution_871]:574
CONV_2D, 0.297, 0.389, 0.0631192%, 2.45104%, 0, 1, [onnx_tf_prefix_/box_net/act_1/Relu;convolution_112]:755
CONV_2D, 1.28, 1.6684, 0.270715%, 2.72175%, 0, 1, [onnx_tf_prefix_/class_net/act_1/Relu;convolution_92]:741
SUM, 0.523, 0.7256, 0.117736%, 2.83949%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.4/combine/ReduceSum_1]:570
Transpose (ND, X32), 0.01, 0.02025, 0.0131431%, 2.85263%, 0, 4, Delegate/Transpose (ND	 X32):11
