Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 36.415, 36.415, 92.2272%, 92.2272%, 8432, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.069, 3.069, 7.77277%, 100%, 36, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 36.415, 36.415, 92.2272%, 92.2272%, 8432, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.069, 3.069, 7.77277%, 100%, 36, 1, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 36.415, 92.2272%, 92.2272%, 8432, 1
AllocateTensors, 1, 3.069, 7.77277%, 100%, 36, 1

Timings (microseconds): count=1 curr=39484
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.024, 0.0242, 0.00253468%, 0.00253468%, 0, 1, [convolution_130]:643
CONV_2D, 0.011, 0.011, 0.00115213%, 0.00368681%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.037, 0.0358, 0.00374965%, 0.00743645%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.079, 0.0436, 0.00456661%, 0.0120031%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.029, 0.0298, 0.00312122%, 0.0151243%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.055, 0.0526, 0.00550926%, 0.0206335%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.003, 0.0038, 0.000398007%, 0.0210315%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.042, 0.0424, 0.00444092%, 0.0254725%, 0, 1, [convolution_126]:673
CONV_2D, 0.042, 0.0418, 0.00437808%, 0.0298506%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.053, 0.0532, 0.0055721%, 0.0354227%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.062, 0.0608, 0.00636812%, 0.0417908%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.067, 0.0674, 0.00705939%, 0.0488502%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.079, 0.0752, 0.00787636%, 0.0567265%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.075, 0.0734, 0.00768783%, 0.0644144%, 0, 1, [convolution_902]:613
CONV_2D, 0.09, 0.0864, 0.00904943%, 0.0734638%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.122, 0.1534, 0.0160669%, 0.0895307%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.019, 0.0192, 0.00201098%, 0.0915417%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.133, 0.1366, 0.0143073%, 0.105849%, 0, 1, [convolution_122]:703
CONV_2D, 0.096, 0.0952, 0.00997113%, 0.11582%, 0, 1, [Add_226;convolution_94;convolution_102;Const_2]:689
CONV_2D, 0.102, 0.1012, 0.0105996%, 0.12642%, 0, 1, [onnx_tf_prefix_/box_net/act_9/Relu;convolution_123]:661
CONV_2D, 0.159, 0.1482, 0.0155223%, 0.141942%, 0, 1, [onnx_tf_prefix_/class_net/act_9/Relu;convolution_103]:647
PADV2, 0.015, 0.015, 0.00157108%, 0.143513%, 0, 1, [PadV2_18]:602
CONV_2D, 0.162, 0.1576, 0.0165068%, 0.16002%, 0, 1, [onnx_tf_prefix_/box_net/act_8/Relu;convolution_121]:699
CONV_2D, 0.252, 0.2426, 0.0254096%, 0.18543%, 0, 1, [onnx_tf_prefix_/class_net/act_8/Relu;convolution_101]:685
CONV_2D, 0.194, 0.1794, 0.0187901%, 0.20422%, 0, 1, [convolution_891]:600
CONV_2D, 0.179, 0.1926, 0.0201727%, 0.224392%, 0, 1, [onnx_tf_prefix_/box_net/act_7/Relu;convolution_120]:695
CONV_2D, 0.485, 0.4346, 0.0455195%, 0.269912%, 0, 1, [onnx_tf_prefix_/class_net/act_7/Relu;convolution_100]:681
SUM, 0.073, 0.0732, 0.00766688%, 0.277579%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.6/combine/ReduceSum_1]:596
CONV_2D, 0.489, 0.4732, 0.0495624%, 0.327141%, 0, 1, [convolution_118]:733
CONV_2D, 0.348, 0.3366, 0.0352551%, 0.362396%, 0, 1, [Add_222;convolution_94;convolution_98;Const_2]:719
CONV_2D, 0.235, 0.2316, 0.0242575%, 0.386654%, 0, 1, [onnx_tf_prefix_/box_net/act_6/Relu;convolution_119]:691
CONV_2D, 0.504, 0.496, 0.0519504%, 0.438604%, 0, 1, [onnx_tf_prefix_/class_net/act_6/Relu;convolution_99]:677
PADV2, 0.03, 0.0306, 0.00320501%, 0.441809%, 0, 1, [PadV2_17]:589
CONV_2D, 0.692, 0.6092, 0.0638069%, 0.505616%, 0, 1, [onnx_tf_prefix_/box_net/act_5/Relu;convolution_117]:729
