Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 1913.76, 974.654, 98.9885%, 98.9885%, 0, 2, ModifyGraphWithDelegate/0
AllocateTensors, 2.707, 9.959, 1.01146%, 100%, 0, 2, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 1913.76, 974.654, 98.9885%, 98.9885%, 0, 2, ModifyGraphWithDelegate/0
AllocateTensors, 2.707, 9.959, 1.01146%, 100%, 0, 2, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 1949.31, 98.9885%, 98.9885%, 0, 2
AllocateTensors, 1, 19.918, 1.01146%, 100%, 0, 2

Timings (microseconds): count=1 curr=1969226
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
Transpose (ND, X32), 0.038, 0.0492, 0.0106358%, 0.0106358%, 0, 1, Delegate/Transpose (ND	 X32):1
CONV_2D, 0.027, 0.026, 0.00562055%, 0.0162564%, 0, 1, [convolution_130]:643
CONV_2D, 0.008, 0.0078, 0.00168616%, 0.0179425%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.024, 0.0252, 0.00544761%, 0.0233901%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.026, 0.0336, 0.00726348%, 0.0306536%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.04, 0.0404, 0.00873347%, 0.0393871%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.02, 0.0206, 0.0044532%, 0.0438403%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.003, 0.0054, 0.00116734%, 0.0450076%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.064, 0.0642, 0.0138784%, 0.0588861%, 0, 1, [convolution_126]:673
CONV_2D, 0.04, 0.0394, 0.00851729%, 0.0674034%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.092, 0.0796, 0.0172075%, 0.0846109%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.036, 0.0488, 0.0105493%, 0.0951602%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.054, 0.0532, 0.0115005%, 0.106661%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.047, 0.0516, 0.0111546%, 0.117815%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.075, 0.082, 0.0177263%, 0.135542%, 0, 1, [convolution_902]:613
CONV_2D, 0.085, 0.0866, 0.0187208%, 0.154262%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.029, 0.0344, 0.00743642%, 0.161699%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.018, 0.019, 0.00410732%, 0.165806%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.199, 0.204, 0.0440997%, 0.209906%, 0, 1, [convolution_122]:703
CONV_2D, 0.094, 0.0952, 0.0205799%, 0.230486%, 0, 1, [Add_226;convolution_94;convolution_102;Const_2]:689
CONV_2D, 0.165, 0.1788, 0.0386521%, 0.269138%, 0, 1, [onnx_tf_prefix_/box_net/act_9/Relu;convolution_123]:661
CONV_2D, 0.094, 0.1014, 0.0219201%, 0.291058%, 0, 1, [onnx_tf_prefix_/class_net/act_9/Relu;convolution_103]:647
PADV2, 0.015, 0.0156, 0.00337233%, 0.29443%, 0, 1, [PadV2_18]:602
CONV_2D, 0.184, 0.1714, 0.0370524%, 0.331483%, 0, 1, [onnx_tf_prefix_/box_net/act_8/Relu;convolution_121]:699
CONV_2D, 0.123, 0.117, 0.0252925%, 0.356775%, 0, 1, [onnx_tf_prefix_/class_net/act_8/Relu;convolution_101]:685
CONV_2D, 0.171, 0.196, 0.0423703%, 0.399146%, 0, 1, [convolution_891]:600
CONV_2D, 0.286, 0.287, 0.0620422%, 0.461188%, 0, 1, [onnx_tf_prefix_/box_net/act_7/Relu;convolution_120]:695
CONV_2D, 0.127, 0.1634, 0.035323%, 0.496511%, 0, 1, [onnx_tf_prefix_/class_net/act_7/Relu;convolution_100]:681
SUM, 0.076, 0.0728, 0.0157375%, 0.512248%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.6/combine/ReduceSum_1]:596
CONV_2D, 0.779, 0.7406, 0.160099%, 0.672347%, 0, 1, [convolution_118]:733
CONV_2D, 0.233, 0.2354, 0.0508876%, 0.723235%, 0, 1, [Add_222;convolution_94;convolution_98;Const_2]:719
CONV_2D, 0.591, 0.5518, 0.119285%, 0.84252%, 0, 1, [onnx_tf_prefix_/box_net/act_6/Relu;convolution_119]:691
CONV_2D, 0.198, 0.2042, 0.0441429%, 0.886663%, 0, 1, [onnx_tf_prefix_/class_net/act_6/Relu;convolution_99]:677
PADV2, 0.03, 0.0308, 0.00665819%, 0.893322%, 0, 1, [PadV2_17]:589
CONV_2D, 0.669, 0.658, 0.142243%, 1.03556%, 0, 1, [onnx_tf_prefix_/box_net/act_5/Relu;convolution_117]:729
CONV_2D, 0.488, 0.4574, 0.0988784%, 1.13444%, 0, 1, [onnx_tf_prefix_/class_net/act_5/Relu;convolution_97]:715
CONV_2D, 0.593, 0.6012, 0.129964%, 1.26441%, 0, 1, [convolution_881]:587
CONV_2D, 1.119, 1.0672, 0.230702%, 1.49511%, 0, 1, [onnx_tf_prefix_/box_net/act_4/Relu;convolution_116]:725
CONV_2D, 0.335, 0.3436, 0.0742777%, 1.56939%, 0, 1, [onnx_tf_prefix_/class_net/act_4/Relu;convolution_96]:711
SUM, 0.281, 0.2772, 0.0599237%, 1.62931%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.5/combine/ReduceSum_1]:583
Transpose (ND, X32), 0.079, 0.0346, 0.022439%, 1.65175%, 0, 3, Delegate/Transpose (ND	 X32):13
Transpose (ND, X32), 0.029, 0.0122, 0.007912%, 1.65966%, 0, 3, Delegate/Transpose (ND	 X32):12
CONV_2D, 2.761, 2.6954, 0.582678%, 2.24234%, 0, 1, [convolution_1142]:763
CONV_2D, 0.808, 0.8008, 0.173113%, 2.41545%, 0, 1, [Add_218;convolution_94;Const_2]:749
