Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 36.636, 36.636, 92.2055%, 92.2055%, 8460, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.097, 3.097, 7.79453%, 100%, 48, 1, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 36.636, 36.636, 92.2055%, 92.2055%, 8460, 1, ModifyGraphWithDelegate/0
AllocateTensors, 3.097, 3.097, 7.79453%, 100%, 48, 1, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 36.636, 92.2055%, 92.2055%, 8460, 1
AllocateTensors, 1, 3.097, 7.79453%, 100%, 48, 1

Timings (microseconds): count=1 curr=39733
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
CONV_2D, 0.032, 0.0348, 0.00349484%, 0.00349484%, 0, 1, [convolution_130]:643
CONV_2D, 0.028, 0.0292, 0.00293245%, 0.00642729%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.036, 0.0368, 0.00369569%, 0.010123%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.031, 0.0308, 0.00309313%, 0.0132161%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.035, 0.0348, 0.00349484%, 0.016711%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.041, 0.039, 0.00391663%, 0.0206276%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.003, 0.0036, 0.000361535%, 0.0209891%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.099, 0.0842, 0.00845591%, 0.029445%, 0, 1, [convolution_126]:673
CONV_2D, 0.059, 0.0626, 0.00628669%, 0.0357317%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.104, 0.0706, 0.00709011%, 0.0428218%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.163, 0.0918, 0.00921915%, 0.052041%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.065, 0.07, 0.00702985%, 0.0590708%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.08, 0.083, 0.00833539%, 0.0674062%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.071, 0.0736, 0.00739139%, 0.0747976%, 0, 1, [convolution_902]:613
CONV_2D, 0.077, 0.0778, 0.00781318%, 0.0826108%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.09, 0.0898, 0.00901829%, 0.0916291%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.018, 0.0186, 0.00186793%, 0.093497%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
