Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 1708.71, 869.98, 98.9653%, 98.9653%, 0, 2, ModifyGraphWithDelegate/0
AllocateTensors, 2.341, 9.0955, 1.03467%, 100%, 0, 2, AllocateTensors/0

============================== Top by Computation Time ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
ModifyGraphWithDelegate, 1708.71, 869.98, 98.9653%, 98.9653%, 0, 2, ModifyGraphWithDelegate/0
AllocateTensors, 2.341, 9.0955, 1.03467%, 100%, 0, 2, AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
node type, count, avg_ms, avg %, cdf %, mem KB, times called
ModifyGraphWithDelegate, 1, 1739.96, 98.9653%, 98.9653%, 0, 2
AllocateTensors, 1, 18.191, 1.03467%, 100%, 0, 2

Timings (microseconds): count=1 curr=1758151
Memory (bytes): count=0
2 nodes observed


Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
node type, first, avg_ms, %, cdf%, mem KB, times called, name
Transpose (ND, X32), 0.072, 0.0498, 0.0104569%, 0.0104569%, 0, 1, Delegate/Transpose (ND	 X32):1
CONV_2D, 0.009, 0.008, 0.00167982%, 0.0121367%, 0, 1, [convolution_130]:643
CONV_2D, 0.036, 0.0272, 0.0057114%, 0.0178481%, 0, 1, [Add_234;convolution_94;convolution_110;Const_2]:629
CONV_2D, 0.007, 0.0068, 0.00142785%, 0.019276%, 0, 1, [onnx_tf_prefix_/box_net/act_14/Relu;convolution_129]:639
CONV_2D, 0.054, 0.0784, 0.0164623%, 0.0357383%, 0, 1, [onnx_tf_prefix_/class_net/act_14/Relu;convolution_109]:625
CONV_2D, 0.024, 0.0242, 0.00508147%, 0.0408197%, 0, 1, [onnx_tf_prefix_/box_net/act_13/Relu;convolution_128]:635
CONV_2D, 0.05, 0.054, 0.0113388%, 0.0521585%, 0, 1, [onnx_tf_prefix_/class_net/act_13/Relu;convolution_108]:621
Transpose (ND, X32), 0.006, 0.006, 0.00125987%, 0.0534184%, 0, 1, Delegate/Transpose (ND	 X32):7
CONV_2D, 0.024, 0.0248, 0.00520745%, 0.0586259%, 0, 1, [convolution_126]:673
CONV_2D, 0.066, 0.0796, 0.0167142%, 0.0753401%, 0, 1, [Add_230;convolution_94;convolution_106;Const_2]:659
CONV_2D, 0.045, 0.042, 0.00881908%, 0.0841592%, 0, 1, [onnx_tf_prefix_/box_net/act_12/Relu;convolution_127]:631
CONV_2D, 0.058, 0.0862, 0.0181001%, 0.102259%, 0, 1, [onnx_tf_prefix_/class_net/act_12/Relu;convolution_107]:617
CONV_2D, 0.016, 0.0176, 0.00369561%, 0.105955%, 0, 1, [onnx_tf_prefix_/box_net/act_11/Relu;convolution_125]:669
CONV_2D, 0.124, 0.1198, 0.0251554%, 0.13111%, 0, 1, [onnx_tf_prefix_/class_net/act_11/Relu;convolution_105]:655
CONV_2D, 0.078, 0.0746, 0.0156644%, 0.146775%, 0, 1, [convolution_902]:613
CONV_2D, 0.047, 0.0454, 0.009533%, 0.156308%, 0, 1, [onnx_tf_prefix_/box_net/act_10/Relu;convolution_124]:665
CONV_2D, 0.119, 0.1208, 0.0253653%, 0.181673%, 0, 1, [onnx_tf_prefix_/class_net/act_10/Relu;convolution_104]:651
SUM, 0.017, 0.018, 0.0037796%, 0.185453%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.7/combine/ReduceSum_1]:609
CONV_2D, 0.099, 0.1134, 0.0238115%, 0.209264%, 0, 1, [convolution_122]:703
CONV_2D, 0.147, 0.1468, 0.0308248%, 0.240089%, 0, 1, [Add_226;convolution_94;convolution_102;Const_2]:689
CONV_2D, 0.091, 0.09, 0.018898%, 0.258987%, 0, 1, [onnx_tf_prefix_/box_net/act_9/Relu;convolution_123]:661
CONV_2D, 0.138, 0.166, 0.0348563%, 0.293843%, 0, 1, [onnx_tf_prefix_/class_net/act_9/Relu;convolution_103]:647
PADV2, 0.015, 0.0168, 0.00352763%, 0.297371%, 0, 1, [PadV2_18]:602
CONV_2D, 0.085, 0.0838, 0.0175962%, 0.314967%, 0, 1, [onnx_tf_prefix_/box_net/act_8/Relu;convolution_121]:699
CONV_2D, 0.416, 0.417, 0.0875608%, 0.402528%, 0, 1, [onnx_tf_prefix_/class_net/act_8/Relu;convolution_101]:685
CONV_2D, 0.166, 0.182, 0.038216%, 0.440744%, 0, 1, [convolution_891]:600
CONV_2D, 0.109, 0.1102, 0.0231396%, 0.463883%, 0, 1, [onnx_tf_prefix_/box_net/act_7/Relu;convolution_120]:695
CONV_2D, 0.431, 0.4134, 0.0868049%, 0.550688%, 0, 1, [onnx_tf_prefix_/class_net/act_7/Relu;convolution_100]:681
SUM, 0.073, 0.0742, 0.0155804%, 0.566269%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.6/combine/ReduceSum_1]:596
CONV_2D, 0.239, 0.2484, 0.0521585%, 0.618427%, 0, 1, [convolution_118]:733
CONV_2D, 0.61, 0.5694, 0.119561%, 0.737989%, 0, 1, [Add_222;convolution_94;convolution_98;Const_2]:719
CONV_2D, 0.316, 0.3094, 0.0649672%, 0.802956%, 0, 1, [onnx_tf_prefix_/box_net/act_6/Relu;convolution_119]:691
CONV_2D, 0.453, 0.4582, 0.0962119%, 0.899168%, 0, 1, [onnx_tf_prefix_/class_net/act_6/Relu;convolution_99]:677
PADV2, 0.03, 0.0318, 0.0066773%, 0.905845%, 0, 1, [PadV2_17]:589
CONV_2D, 0.223, 0.2212, 0.0464471%, 0.952292%, 0, 1, [onnx_tf_prefix_/box_net/act_5/Relu;convolution_117]:729
CONV_2D, 1.644, 1.6716, 0.350999%, 1.30329%, 0, 1, [onnx_tf_prefix_/class_net/act_5/Relu;convolution_97]:715
CONV_2D, 0.594, 0.6004, 0.126071%, 1.42936%, 0, 1, [convolution_881]:587
CONV_2D, 0.399, 0.4186, 0.0878968%, 1.51726%, 0, 1, [onnx_tf_prefix_/box_net/act_4/Relu;convolution_116]:725
CONV_2D, 1.566, 1.6034, 0.336679%, 1.85394%, 0, 1, [onnx_tf_prefix_/class_net/act_4/Relu;convolution_96]:711
SUM, 0.283, 0.289, 0.0606836%, 1.91462%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.5/combine/ReduceSum_1]:583
Transpose (ND, X32), 0.099, 0.0448, 0.028221%, 1.94284%, 0, 3, Delegate/Transpose (ND	 X32):13
Transpose (ND, X32), 0.024, 0.0120667, 0.0076012%, 1.95044%, 0, 3, Delegate/Transpose (ND	 X32):12
CONV_2D, 0.861, 0.9236, 0.193936%, 2.14438%, 0, 1, [convolution_1142]:763
CONV_2D, 2.148, 2.1696, 0.455568%, 2.59995%, 0, 1, [Add_218;convolution_94;Const_2]:749
CONV_2D, 1.016, 1.0466, 0.219763%, 2.81971%, 0, 1, [onnx_tf_prefix_/box_net/act_3/Relu;convolution_115]:721
CONV_2D, 1.909, 2.0102, 0.422098%, 3.24181%, 0, 1, [onnx_tf_prefix_/class_net/act_3/Relu;convolution_95]:707
PADV2, 0.068, 0.0688, 0.0144465%, 3.25625%, 0, 1, [PadV2_16]:576
CONV_2D, 0.84, 0.8594, 0.180455%, 3.43671%, 0, 1, [onnx_tf_prefix_/box_net/act_2/Relu;convolution_113]:759
CONV_2D, 7.622, 7.8088, 1.63968%, 5.07639%, 0, 1, [onnx_tf_prefix_/class_net/act_2/Relu;convolution_93]:745
CONV_2D, 2.941, 3.0408, 0.638501%, 5.71489%, 0, 1, [convolution_871]:574
Transpose (ND, X32), 0.185, 0.0386182, 0.0891986%, 5.80409%, 0, 11, Delegate/Transpose (ND	 X32):5
Constant Pad (ND, X32), 0.355, 0.103873, 0.239921%, 6.04401%, 0, 11, Delegate/Constant Pad (ND	 X32):4
CONV_2D, 1.627, 1.6146, 0.33903%, 6.38304%, 0, 1, [onnx_tf_prefix_/box_net/act_1/Relu;convolution_112]:755
CONV_2D, 6.578, 7.4938, 1.57353%, 7.95657%, 0, 1, [onnx_tf_prefix_/class_net/act_1/Relu;convolution_92]:741
SUM, 1.02, 1.1096, 0.232992%, 8.18956%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.4/combine/ReduceSum_1]:570
Transpose (ND, X32), 0.206, 0.0336, 0.028221%, 8.21778%, 0, 4, Delegate/Transpose (ND	 X32):11
Constant Pad (ND, X32), 0.134, 0.0519, 0.0435914%, 8.26137%, 0, 4, Delegate/Constant Pad (ND	 X32):10
Transpose (ND, X32), 0.124, 0.02535, 0.0212918%, 8.28267%, 0, 4, Delegate/Transpose (ND	 X32):9
Transpose (ND, X32), 0.288, 0.0279, 0.0703006%, 8.35297%, 0, 12, Delegate/Transpose (ND	 X32):8
Constant Pad (ND, X32), 0.294, 0.0478667, 0.120611%, 8.47358%, 0, 12, Delegate/Constant Pad (ND	 X32):7
Transpose (ND, X32), 0.418, 0.0298308, 0.0814295%, 8.55501%, 0, 13, Delegate/Transpose (ND	 X32):6
CONV_2D, 5.096, 5.1696, 1.0855%, 9.64051%, 0, 1, [onnx_tf_prefix_/box_net/act/Relu;convolution_111]:751
CONV_2D, 9.478, 9.5028, 1.99538%, 11.6359%, 0, 1, [onnx_tf_prefix_/class_net/act/Relu;convolution_91]:737
PADV2, 0.172, 0.1706, 0.0358222%, 11.6717%, 0, 1, [PadV2_15]:563
CONV_2D, 11.333, 12.0932, 2.53931%, 14.211%, 0, 1, [convolution_861]:561
SUM, 3.631, 3.8888, 0.816562%, 15.0276%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.3/combine/ReduceSum_1]:557
RESIZE_NEAREST_NEIGHBOR, 0.137, 0.1338, 0.0280951%, 15.0557%, 0, 1, [ResizeNearestNeighbor_15]:548
CONV_2D, 3.057, 2.921, 0.613346%, 15.669%, 0, 1, [convolution_851]:544
SUM, 1.16, 1.0176, 0.213674%, 15.8827%, 0, 1, [onnx_tf_prefix_/fpn/cell/cell.3/fnode.2/combine/ReduceSum_1]:540
RESIZE_NEAREST_NEIGHBOR, 0.035, 0.0332, 0.00697127%, 15.8897%, 0, 1, [ResizeNearestNeighbor_14]:531
CONV_2D, 0.685, 0.7194, 0.151058%, 16.0407%, 0, 1, [convolution_841]:527
