---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                      aten::zeros         0.02%      22.000us         0.03%      30.000us      10.000us      12.000us         0.01%      20.000us       6.667us          12 b           0 b           0 b           0 b             3  
                      aten::empty         2.02%       2.366ms         2.02%       2.366ms       1.069us       3.289ms         2.82%       3.289ms       1.486us         876 b         876 b       1.82 Gb       1.82 Gb          2213  
                      aten::zero_         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.00%       5.000us       1.667us           0 b           0 b           0 b           0 b             3  
                    ProfilerStep*        30.08%      35.272ms        99.97%     117.230ms      39.077ms       5.448ms         4.67%     116.727ms      38.909ms         -12 b        -876 b           0 b      -2.41 Gb             3  
                     aten::conv2d         1.15%       1.346ms        30.13%      35.326ms      89.888us       1.840ms         1.58%      53.990ms     137.379us           0 b           0 b    1006.58 Mb           0 b           393  
                aten::convolution         2.45%       2.877ms        28.98%      33.980ms      86.463us       1.189ms         1.02%      52.150ms     132.697us           0 b           0 b    1006.58 Mb           0 b           393  
               aten::_convolution         2.33%       2.731ms        26.52%      31.103ms      79.142us       1.200ms         1.03%      50.961ms     129.672us           0 b           0 b    1006.58 Mb           0 b           393  
          aten::cudnn_convolution        23.39%      27.426ms        23.86%      27.976ms      71.186us      44.579ms        38.18%      45.129ms     114.832us           0 b           0 b    1006.58 Mb     153.85 Mb           393  
                       aten::add_         2.77%       3.249ms         2.77%       3.249ms       7.367us      11.397ms         9.76%      11.397ms      25.844us           0 b           0 b           0 b           0 b           441  
                 aten::batch_norm         1.02%       1.192ms        17.78%      20.852ms      57.444us       1.809ms         1.55%      23.964ms      66.017us           0 b           0 b    1007.22 Mb           0 b           363  
     aten::_batch_norm_impl_index         1.62%       1.895ms        16.77%      19.660ms      54.160us       1.046ms         0.90%      22.155ms      61.033us           0 b           0 b    1007.22 Mb           0 b           363  
