---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    ProfilerStep*         0.20%     995.000us       100.00%     502.990ms     167.663ms           0 b      -2.41 Gb             3  
                     aten::conv2d         3.80%      19.091ms        64.31%     323.450ms     823.028us     980.14 Mb      29.71 Mb           393  
                aten::convolution        -0.60%   -3037.000us        64.22%     323.042ms     821.990us     980.20 Mb      -4.63 Mb           393  
               aten::_convolution         1.45%       7.277ms        63.91%     321.448ms     817.934us     981.62 Mb       3.57 Mb           393  
         aten::mkldnn_convolution        61.94%     311.577ms        62.79%     315.804ms       1.097ms     967.44 Mb     281.94 Mb           288  
                      aten::empty         1.40%       7.052ms         1.40%       7.052ms       1.882us       1.66 Gb       1.66 Gb          3748  
                aten::as_strided_         0.07%     333.000us         0.07%     333.000us       1.156us     -51.51 Mb     -51.51 Mb           288  
                       aten::add_         5.38%      27.066ms         5.38%      27.066ms      65.854us         328 b         328 b           411  
                 aten::batch_norm        -0.04%    -222.000us        13.48%      67.803ms     186.785us     976.37 Mb      -7.98 Mb           363  
     aten::_batch_norm_impl_index         0.79%       3.959ms        13.42%      67.482ms     185.901us     976.37 Mb      55.48 Mb           363  
          aten::native_batch_norm        12.69%      63.854ms        13.31%      66.933ms     184.388us     976.38 Mb    -204.21 Mb           363  
                 aten::empty_like         0.09%     434.000us         0.40%       2.029ms       4.664us     866.69 Mb     247.35 Mb           435  
                      aten::relu_         0.28%       1.419ms         2.85%      14.319ms      43.000us           0 b           0 b           333  
                 aten::clamp_min_         2.56%      12.900ms         2.56%      12.900ms      38.739us           0 b           0 b           333  
                 aten::max_pool2d         0.06%     283.000us         3.00%      15.107ms     265.035us      82.31 Mb     799.22 Kb            57  
    aten::max_pool2d_with_indices         2.99%      15.048ms         2.99%      15.048ms     264.000us      82.31 Mb      82.31 Mb            57  
          aten::_nnpack_available         0.00%       0.000us         0.00%       0.000us       0.000us           0 b           0 b           105  
                aten::thnn_conv2d         0.12%     627.000us         0.86%       4.334ms      41.276us      15.97 Mb       2.86 Mb           105  
       aten::_slow_conv2d_forward         0.75%       3.769ms         0.85%       4.284ms      40.800us      16.60 Mb      -7.63 Mb           105  
                       aten::view         0.00%      21.000us         0.00%      21.000us       0.194us      38.67 Kb      38.67 Kb           108  
                     aten::detach         0.00%       1.000us         0.00%       1.000us       0.333us           0 b           0 b             3  
                    aten::resize_         0.03%     145.000us         0.03%     145.000us       1.381us       8.01 Mb       8.01 Mb           105  
         aten::upsample_nearest2d         0.40%       2.023ms         0.89%       4.473ms      81.327us      40.56 Mb      31.30 Mb            55  
                 aten::contiguous         0.03%     128.000us         0.28%       1.429ms      19.847us      11.11 Mb       1.54 Mb            72  
                      aten::clone         0.04%     180.000us         0.27%       1.358ms      18.861us      10.57 Mb      -3.89 Mb            72  
                      aten::copy_         0.39%       1.948ms         0.39%       1.948ms       5.550us    -729.88 Kb    -729.88 Kb           351  
                         aten::to         0.05%     253.000us         0.14%     704.000us       2.173us       1.06 Kb          44 b           324  
                       aten::relu         0.06%     315.000us         0.08%     406.000us       4.229us         912 b         144 b            96  
                  aten::clamp_min         0.02%      91.000us         0.02%      91.000us       0.948us         788 b         788 b            96  
                        aten::sum         1.41%       7.083ms         1.53%       7.676ms      32.944us      24.54 Mb      13.02 Mb           233  
                 aten::as_strided         0.00%      18.000us         0.00%      18.000us       0.025us      11.52 Mb      11.52 Mb           720  
                      aten::fill_         0.10%     499.000us         0.10%     499.000us       2.310us       3.12 Kb       3.12 Kb           216  
                     aten::select         0.07%     371.000us         0.07%     372.000us       1.632us           0 b           0 b           228  
                        aten::mul         0.89%       4.454ms         0.89%       4.454ms      19.535us      94.06 Mb      94.06 Mb           228  
                        aten::add         0.10%     495.000us         0.25%       1.269ms       5.566us       1.25 Kb        -428 b           228  
                   aten::_to_copy         0.08%     403.000us         0.10%     515.000us       2.259us       1.00 Kb         480 b           228  
              aten::empty_strided         0.02%     102.000us         0.02%     102.000us       0.447us         656 b         656 b           228  
                        aten::div         0.87%       4.390ms         0.87%       4.390ms      19.254us      94.06 Mb      94.06 Mb           228  
                      aten::stack         0.10%     488.000us         1.49%       7.510ms      78.229us      93.35 Mb    -163.28 Kb            96  
                  aten::unsqueeze         0.02%     124.000us         0.03%     129.000us       0.566us           0 b           0 b           228  
                        aten::cat         1.36%       6.840ms         1.39%       6.971ms      72.615us      94.06 Mb      92.85 Mb            96  
                     aten::narrow         0.02%      89.000us         0.02%     124.000us       2.067us       1.21 Mb       1.21 Mb            60  
                      aten::slice         0.01%      39.000us         0.01%      42.000us       0.700us           0 b           0 b            60  
                       aten::ones         0.01%      36.000us         0.01%      49.000us       2.042us      10.94 Kb       3.75 Kb            24  
                    aten::reshape         0.01%      29.000us         0.01%      29.000us       1.933us     121.29 Kb     120.41 Kb            15  
             aten::_reshape_alias         0.00%       0.000us         0.00%       0.000us       0.000us           0 b           0 b            15  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 502.990ms

Average inference time: 167.66333333333336 ms
